Training configuration: Namespace(seed=47, batch_size=128, lr=0.0005, weight_decay=0.0001, nhid=128, pooling_ratio=0.5, dropout_ratio=0.5, dataset='NCI1', epochs=100000, patience=50, pooling_layer_type='GCNConv', ablation=1, device='cuda:0', num_classes=2, num_features=38)
Epoch 0: Validation loss: 0.6922322062100227	accuracy: 0.5206812652068127
Epoch 1: Validation loss: 0.6923958390878645	accuracy: 0.5304136253041363
Epoch 2: Validation loss: 0.6902911518031953	accuracy: 0.6228710462287105
Epoch 3: Validation loss: 0.6818431891374054	accuracy: 0.635036496350365
Epoch 4: Validation loss: 0.6665159304356633	accuracy: 0.6180048661800487
Epoch 5: Validation loss: 0.6529307075370547	accuracy: 0.6374695863746959
Epoch 6: Validation loss: 0.637550646371215	accuracy: 0.6496350364963503
Epoch 7: Validation loss: 0.6304234553427592	accuracy: 0.6545012165450121
Epoch 8: Validation loss: 0.6327455989345727	accuracy: 0.6545012165450121
Epoch 9: Validation loss: 0.6264677627823358	accuracy: 0.656934306569343
Epoch 10: Validation loss: 0.6328642165283798	accuracy: 0.6374695863746959
Epoch 11: Validation loss: 0.624668436908954	accuracy: 0.6690997566909975
Epoch 12: Validation loss: 0.6278223144456998	accuracy: 0.656934306569343
Epoch 13: Validation loss: 0.6254494752907115	accuracy: 0.6520681265206812
Epoch 14: Validation loss: 0.6199984585281706	accuracy: 0.6763990267639902
Epoch 15: Validation loss: 0.6190081176386553	accuracy: 0.6520681265206812
Epoch 16: Validation loss: 0.6115629052303714	accuracy: 0.6739659367396593
Epoch 17: Validation loss: 0.6154254161528427	accuracy: 0.6763990267639902
Epoch 18: Validation loss: 0.6031009924672815	accuracy: 0.681265206812652
Epoch 19: Validation loss: 0.5984181638471692	accuracy: 0.708029197080292
Epoch 20: Validation loss: 0.5829356859490239	accuracy: 0.7226277372262774
Epoch 21: Validation loss: 0.5872176952315653	accuracy: 0.708029197080292
Epoch 22: Validation loss: 0.6613308542256228	accuracy: 0.5888077858880778
Epoch 23: Validation loss: 0.5781381263640095	accuracy: 0.7274939172749392
Epoch 24: Validation loss: 0.5827531466518876	accuracy: 0.7055961070559611
Epoch 25: Validation loss: 0.5698832282184685	accuracy: 0.7177615571776156
Epoch 26: Validation loss: 0.5687443392120138	accuracy: 0.7250608272506083
Epoch 27: Validation loss: 0.5807857049352642	accuracy: 0.7153284671532847
Epoch 28: Validation loss: 0.5753002468396857	accuracy: 0.7104622871046229
Epoch 29: Validation loss: 0.5657436807080197	accuracy: 0.7250608272506083
Epoch 30: Validation loss: 0.561634850327986	accuracy: 0.7347931873479319
Epoch 31: Validation loss: 0.6241426096635433	accuracy: 0.6423357664233577
Epoch 32: Validation loss: 0.5611908023954888	accuracy: 0.732360097323601
Epoch 33: Validation loss: 0.5804787053388981	accuracy: 0.7104622871046229
Epoch 34: Validation loss: 0.5602716065381275	accuracy: 0.7420924574209246
Epoch 35: Validation loss: 0.5580098414363072	accuracy: 0.7372262773722628
Epoch 36: Validation loss: 0.573247633421218	accuracy: 0.7007299270072993
Epoch 37: Validation loss: 0.5523860425554633	accuracy: 0.7396593673965937
Epoch 38: Validation loss: 0.5399028332564082	accuracy: 0.7615571776155717
Epoch 39: Validation loss: 0.5514698539047056	accuracy: 0.7299270072992701
Epoch 40: Validation loss: 0.5728463755326839	accuracy: 0.7007299270072993
Epoch 41: Validation loss: 0.5755840241183909	accuracy: 0.7250608272506083
Epoch 42: Validation loss: 0.5619884871508374	accuracy: 0.7201946472019465
Epoch 43: Validation loss: 0.5544640942501615	accuracy: 0.7201946472019465
Epoch 44: Validation loss: 0.5519829654925641	accuracy: 0.7274939172749392
Epoch 45: Validation loss: 0.5464673541178089	accuracy: 0.732360097323601
Epoch 46: Validation loss: 0.5633661172685832	accuracy: 0.7201946472019465
Epoch 47: Validation loss: 0.5425478547738997	accuracy: 0.7420924574209246
Epoch 48: Validation loss: 0.540765934036886	accuracy: 0.7396593673965937
Epoch 49: Validation loss: 0.5413786245378555	accuracy: 0.7347931873479319
Epoch 50: Validation loss: 0.562871352889532	accuracy: 0.7007299270072993
Epoch 51: Validation loss: 0.5481345972585562	accuracy: 0.7347931873479319
Epoch 52: Validation loss: 0.538415572359034	accuracy: 0.7347931873479319
Epoch 53: Validation loss: 0.5740661273037431	accuracy: 0.6934306569343066
Epoch 54: Validation loss: 0.5868497904199753	accuracy: 0.681265206812652
Epoch 55: Validation loss: 0.5418994606556393	accuracy: 0.7396593673965937
Epoch 56: Validation loss: 0.543559684660603	accuracy: 0.7445255474452555
Epoch 57: Validation loss: 0.532710349182723	accuracy: 0.7347931873479319
Epoch 58: Validation loss: 0.5532755538494918	accuracy: 0.7201946472019465
Epoch 59: Validation loss: 0.5408784049560844	accuracy: 0.7372262773722628
Epoch 60: Validation loss: 0.5321276820199043	accuracy: 0.7469586374695864
Epoch 61: Validation loss: 0.5426876620364596	accuracy: 0.7299270072992701
Epoch 62: Validation loss: 0.5634091416704684	accuracy: 0.7128953771289538
Epoch 63: Validation loss: 0.5386142684305382	accuracy: 0.7299270072992701
Epoch 64: Validation loss: 0.5578492923374594	accuracy: 0.7128953771289538
Epoch 65: Validation loss: 0.5454298701599567	accuracy: 0.7420924574209246
Epoch 66: Validation loss: 0.5629843041264517	accuracy: 0.7031630170316302
Epoch 67: Validation loss: 0.5700299989278009	accuracy: 0.6958637469586375
Epoch 68: Validation loss: 0.5679952547207946	accuracy: 0.7177615571776156
Epoch 69: Validation loss: 0.5441134608284981	accuracy: 0.7420924574209246
